Row ID,Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Product Name,Sales,Quantity,Discount,Profit
54,CA-2021-001023,2022-05-18,2022-05-25,First Class,Corporate,South,Tennessee,Office Supplies,Folders,25.45,2,0.3,5.03
55,CA-2021-001023,2021-02-28,2021-03-04,First Class,Corporate,South,Alabama,Office Supplies,Tape,71.54,6,0.05,17.31
56,CA-2021-001023,2021-01-21,2021-01-26,First Class,Home Office,Central,Ohio,Technology,USB Hub,334.34,4,0.2,65.72
57,CA-2021-001023,2021-02-05,2021-02-06,Same Day,Corporate,East,Massachusetts,Office Supplies,Tape,70.54,5,0.05,15.69
58,CA-2022-001024,2022-12-22,2022-12-28,First Class,Corporate,South,Alabama,Office Supplies,Stapler,127.51,8,0.1,24.51
59,CA-2022-001024,2022-01-28,2022-01-30,Second Class,Home Office,East,New Jersey,Furniture,Sofa,2805.7,8,0.1,682.29
60,CA-2022-001024,2021-01-29,2021-02-04,First Class,Consumer,East,New Jersey,Furniture,Desk,1995.93,9,0.0,481.03
61,CA-2022-001025,2023-08-20,2023-08-24,First Class,Home Office,East,Massachusetts,Furniture,Office Chair,3692.72,8,0.0,-42.96
62,CA-2022-001025,2021-04-20,2021-04-22,Standard Class,Corporate,South,Florida,Furniture,Filing Cabinet,2668.9,3,0.1,-187.32
63,CA-2022-001025,2023-12-07,2023-12-11,Second Class,Home Office,East,New York,Office Supplies,Paper Ream,393.77,8,0.1,174.86
64,CA-2022-001026,2022-03-02,2022-03-08,Standard Class,Home Office,Central,Indiana,Office Supplies,Pens,69.4,4,0.0,11.3
65,CA-2022-001026,2023-07-12,2023-07-18,Same Day,Consumer,East,Virginia,Furniture,Bookcase,6063.0,10,0.0,-115.1
66,CA-2022-001026,2023-05-21,2023-05-22,Second Class,Corporate,Central,Michigan,Furniture,Bookcase,2986.11,9,0.0,650.8
67,CA-2022-001026,2023-06-19,2023-06-20,First Class,Corporate,East,New York,Furniture,Bookcase,5448.45,8,0.2,1252.8
68,CA-2023-001027,2022-05-28,2022-05-29,First Class,Corporate,South,Florida,Office Supplies,Pens,30.56,2,0.0,15.27
69,CA-2023-001027,2022-07-24,2022-07-26,Same Day,Corporate,Central,Indiana,Furniture,Bookcase,3977.33,10,0.3,951.26
70,CA-2023-001027,2021-11-26,2021-11-29,Standard Class,Corporate,South,North Carolina,Technology,Phone,3991.05,7,0.1,992.87
71,CA-2023-001027,2022-06-01,2022-06-04,First Class,Consumer,South,Alabama,Furniture,Filing Cabinet,1866.58,2,0.2,378.39
72,CA-2021-001028,2023-10-18,2023-10-24,First Class,Home Office,South,Tennessee,Furniture,Bookcase,7077.04,8,0.05,-46.22
73,CA-2022-001029,2022-05-06,2022-05-12,Standard Class,Consumer,Central,Michigan,Office Supplies,Paper Ream,60.06,3,0.0,19.27
74,CA-2022-001029,2023-10-18,2023-10-24,Second Class,Consumer,West,Oregon,Furniture,Filing Cabinet,2924.73,5,0.1,132.85
75,CA-2021-001030,2022-01-26,2022-01-31,Same Day,Consumer,South,Georgia,Technology,USB Hub,6113.43,9,0.0,1890.32
76,CA-2021-001030,2022-08-03,2022-08-09,Standard Class,Corporate,Central,Michigan,Technology,USB Hub,2655.1,5,0.3,821.96
77,CA-2021-001030,2023-07-22,2023-07-25,Same Day,Corporate,South,Alabama,Technology,Phone,3356.43,4,0.05,743.58
78,CA-2021-001030,2023-02-20,2023-02-24,Same Day,Home Office,East,Massachusetts,Furniture,Desk,1904.31,3,0.0,-106.29
79,CA-2022-001031,2021-10-23,2021-10-27,Standard Class,Corporate,West,Nevada,Furniture,Sofa,442.29,3,0.1,8.18
80,CA-2022-001031,2022-10-11,2022-10-17,Same Day,Home Office,South,Florida,Technology,Keyboard,6311.76,8,0.0,1484.76
81,CA-2022-001031,2021-07-25,2021-07-29,Standard Class,Corporate,East,New Jersey,Furniture,Office Chair,2571.84,3,0.0,-215.79
82,CA-2022-001032,2023-12-24,2023-12-28,Second Class,Consumer,Central,Ohio,Technology,Monitor,6231.7,10,0.0,629.37
83,CA-2023-001033,2022-04-21,2022-04-25,Second Class,Corporate,South,Alabama,Office Supplies,Notebooks,143.3,5,0.0,65.86
84,CA-2021-001034,2022-09-05,2022-09-11,First Class,Corporate,Central,Indiana,Furniture,Office Chair,4180.43,7,0.3,818.76
85,CA-2021-001034,2023-01-06,2023-01-11,Same Day,Consumer,East,Massachusetts,Technology,Laptop,4021.38,5,0.1,227.54
86,CA-2021-001034,2023-10-15,2023-10-22,Standard Class,Home Office,South,North Carolina,Furniture,Sofa,4506.94,5,0.05,506.91
87,CA-2021-001034,2021-10-08,2021-10-14,First Class,Home Office,Central,Illinois,Office Supplies,Notebooks,108.8,2,0.0,24.32
88,CA-2022-001035,2022-08-28,2022-08-31,Standard Class,Consumer,West,Arizona,Technology,Keyboard,1279.67,7,0.0,365.93
89,CA-2022-001035,2023-09-14,2023-09-21,First Class,Consumer,Central,Indiana,Office Supplies,Stapler,192.53,5,0.15,81.19
90,CA-2022-001035,2023-01-20,2023-01-21,Same Day,Home Office,South,Florida,Furniture,Bookcase,669.13,7,0.0,39.6
91,CA-2022-001035,2022-04-24,2022-04-28,Standard Class,Corporate,Central,Indiana,Technology,Keyboard,483.66,1,0.15,156.98
92,CA-2023-001036,2021-08-27,2021-08-29,Same Day,Home Office,West,Nevada,Office Supplies,Stapler,51.19,1,0.1,25.51
93,CA-2023-001036,2023-07-19,2023-07-22,Same Day,Consumer,West,California,Furniture,Sofa,4944.78,9,0.0,1037.88
94,CA-2022-001037,2022-03-21,2022-03-25,First Class,Consumer,South,Alabama,Technology,Phone,5827.46,8,0.15,465.07
95,CA-2023-001038,2023-07-21,2023-07-22,Standard Class,Consumer,Central,Texas,Technology,Phone,2353.12,4,0.0,153.36
96,CA-2023-001038,2022-03-01,2022-03-06,Standard Class,Consumer,Central,Illinois,Furniture,Sofa,3764.36,4,0.05,56.45
97,CA-2023-001038,2022-05-29,2022-06-05,Second Class,Consumer,East,Virginia,Furniture,Desk,609.36,3,0.0,-32.83
98,CA-2023-001039,2021-04-18,2021-04-20,First Class,Consumer,East,Virginia,Technology,Laptop,3413.83,7,0.0,658.44
99,CA-2023-001039,2021-03-30,2021-04-05,Second Class,Corporate,Central,Indiana,Office Supplies,Pens,175.41,9,0.0,21.81
100,CA-2023-001039,2023-06-28,2023-06-29,Same Day,Consumer,South,Tennessee,Technology,Keyboard,620.48,2,0.0,43.25
101,CA-2023-001040,2023-11-02,2023-11-07,Same Day,Corporate,Central,Michigan,Office Supplies,Folders,54.25,7,0.0,23.93
102,CA-2023-001040,2023-07-18,2023-07-22,First Class,Corporate,East,Massachusetts,Technology,Printer,3955.32,7,0.15,704.16
103,CA-2023-001040,2021-06-24,2021-06-25,Standard Class,Consumer,Central,Ohio,Furniture,Filing Cabinet,1119.49,7,0.15,206.12
104,CA-2023-001041,2021-04-16,2021-04-19,Same Day,Home Office,Central,Texas,Technology,Phone,3018.3,10,0.0,674.21
105,CA-2021-001042,2021-08-24,2021-08-31,First Class,Corporate,East,Massachusetts,Furniture,Office Chair,2891.96,5,0.2,566.26
106,CA-2021-001042,2022-01-05,2022-01-08,Standard Class,Corporate,West,Arizona,Office Supplies,Tape,235.66,5,0.15,24.14
107,CA-2023-001043,2023-02-10,2023-02-14,Second Class,Consumer,South,Florida,Furniture,Office Chair,3140.24,8,0.15,28.49
108,CA-2023-001043,2021-11-19,2021-11-26,Second Class,Consumer,Central,Indiana,Office Supplies,Pens,48.9,10,0.0,10.21
109,CA-2022-001044,2023-11-16,2023-11-17,Second Class,Corporate,South,Alabama,Technology,Monitor,2181.71,6,0.1,552.99
110,CA-2022-001044,2023-03-21,2023-03-26,Second Class,Consumer,South,Alabama,Office Supplies,Stapler,2.21,1,0.1,1.06
111,CA-2022-001044,2023-10-16,2023-10-22,Standard Class,Consumer,East,New Jersey,Technology,Phone,1023.96,7,0.2,214.8
112,CA-2022-001044,2023-03-25,2023-04-01,Standard Class,Corporate,East,Virginia,Office Supplies,Tape,19.11,1,0.3,8.95
113,CA-2023-001045,2022-08-16,2022-08-17,Same Day,Home Office,South,Alabama,Technology,Keyboard,286.49,7,0.15,29.1
114,CA-2023-001045,2023-06-12,2023-06-17,Second Class,Consumer,South,North Carolina,Furniture,Filing Cabinet,3734.3,7,0.2,764.35
115,CA-2023-001045,2023-12-23,2023-12-28,Standard Class,Consumer,Central,Illinois,Technology,Printer,2781.71,4,0.15,432.08
116,CA-2023-001046,2021-11-10,2021-11-17,Second Class,Consumer,East,New York,Furniture,Desk,389.76,2,0.3,24.31
117,CA-2023-001046,2022-10-10,2022-10-12,First Class,Home Office,South,Alabama,Office Supplies,Tape,33.38,8,0.3,11.77
118,CA-2022-001047,2023-07-15,2023-07-16,Same Day,Corporate,West,Washington,Office Supplies,Pens,21.05,1,0.1,2.75
119,CA-2022-001047,2021-03-26,2021-03-30,Same Day,Corporate,West,Arizona,Office Supplies,Folders,338.38,10,0.15,115.73
120,CA-2022-001047,2023-10-31,2023-11-06,Standard Class,Corporate,East,New York,Technology,Laptop,134.5,3,0.3,46.71
121,CA-2022-001048,2021-04-18,2021-04-25,First Class,Corporate,Central,Ohio,Technology,Monitor,524.04,6,0.0,113.92
122,CA-2022-001048,2022-11-14,2022-11-15,Second Class,Home Office,South,North Carolina,Technology,Keyboard,5162.39,10,0.15,738.58
123,CA-2021-001049,2022-11-04,2022-11-11,Same Day,Corporate,East,Virginia,Office Supplies,Pens,122.61,3,0.0,43.94
124,CA-2021-001049,2022-01-05,2022-01-07,First Class,Corporate,South,Alabama,Technology,Laptop,3588.77,6,0.3,386.16
125,CA-2021-001049,2022-11-21,2022-11-28,Standard Class,Consumer,East,Pennsylvania,Furniture,Desk,1814.16,10,0.2,-83.47
126,CA-2021-001049,2023-01-17,2023-01-23,Same Day,Consumer,East,Virginia,Furniture,Filing Cabinet,4197.38,4,0.1,685.59
127,CA-2022-001050,2023-01-24,2023-01-30,Second Class,Corporate,East,Virginia,Furniture,Desk,8277.99,10,0.3,1401.49
128,CA-2022-001050,2021-10-11,2021-10-18,Second Class,Consumer,South,Alabama,Office Supplies,Paper Ream,17.61,5,0.3,7.92
129,CA-2022-001050,2022-07-13,2022-07-17,Second Class,Consumer,West,Arizona,Furniture,Desk,1764.22,9,0.2,-119.79
130,CA-2022-001050,2023-03-23,2023-03-28,Standard Class,Corporate,East,Massachusetts,Technology,Laptop,1410.78,6,0.0,229.21
131,CA-2023-001051,2021-10-09,2021-10-10,Second Class,Corporate,Central,Texas,Office Supplies,Tape,193.23,5,0.3,73.12
132,CA-2021-001052,2022-06-09,2022-06-11,Standard Class,Consumer,South,Tennessee,Office Supplies,Pens,81.19,3,0.2,11.73
133,CA-2021-001052,2023-05-10,2023-05-16,Second Class,Consumer,Central,Illinois,Technology,Laptop,4276.9,10,0.0,1287.37
134,CA-2023-001053,2022-08-20,2022-08-24,Second Class,Home Office,West,Arizona,Office Supplies,Notebooks,35.78,1,0.05,11.75
135,CA-2023-001053,2023-03-11,2023-03-18,Standard Class,Consumer,East,New York,Office Supplies,Stapler,28.93,8,0.2,14.25
136,CA-2023-001053,2021-08-01,2021-08-08,Second Class,Corporate,Central,Texas,Technology,Laptop,5691.69,10,0.15,512.38
137,CA-2023-001053,2023-09-08,2023-09-14,Same Day,Consumer,Central,Indiana,Technology,Keyboard,2208.0,3,0.0,584.71
138,CA-2021-001054,2022-10-09,2022-10-12,Standard Class,Consumer,West,Washington,Furniture,Office Chair,3313.86,9,0.3,-37.58
139,CA-2021-001054,2022-07-14,2022-07-15,First Class,Home Office,East,New Jersey,Technology,Laptop,1968.72,6,0.2,537.45
140,CA-2021-001054,2023-01-23,2023-01-30,Same Day,Home Office,South,North Carolina,Furniture,Filing Cabinet,3408.57,9,0.0,526.55
141,CA-2021-001054,2022-10-20,2022-10-21,First Class,Home Office,West,Nevada,Office Supplies,Notebooks,37.84,2,0.1,8.42
142,CA-2022-001055,2023-06-10,2023-06-13,First Class,Consumer,East,Massachusetts,Technology,Monitor,76.23,1,0.2,12.12
143,CA-2022-001055,2021-03-13,2021-03-15,Same Day,Home Office,East,New York,Furniture,Sofa,585.33,2,0.15,15.66
144,CA-2022-001055,2023-06-29,2023-07-06,First Class,Corporate,West,Arizona,Furniture,Filing Cabinet,1228.74,2,0.15,48.3
145,CA-2022-001055,2023-10-20,2023-10-25,Second Class,Home Office,Central,Illinois,Furniture,Office Chair,7722.19,7,0.0,-64.7
146,CA-2023-001056,2022-02-14,2022-02-15,Same Day,Home Office,South,Georgia,Office Supplies,Stapler,108.07,3,0.3,18.27
147,CA-2023-001056,2021-05-13,2021-05-18,First Class,Home Office,South,Florida,Office Supplies,Stapler,152.6,9,0.1,67.23
148,CA-2023-001056,2021-10-12,2021-10-14,Second Class,Consumer,East,New Jersey,Office Supplies,Notebooks,23.94,8,0.15,6.87
149,CA-2023-001057,2023-12-13,2023-12-17,Same Day,Home Office,West,California,Technology,Monitor,5224.17,7,0.0,457.63
150,CA-2023-001057,2021-09-20,2021-09-27,First Class,Home Office,Central,Texas,Technology,Monitor,5279.58,9,0.0,1480.05
151,CA-2022-001058,2022-09-15,2022-09-17,Second Class,Home Office,South,Alabama,Furniture,Office Chair,1257.93,3,0.05,26.55
152,CA-2022-001058,2021-09-14,2021-09-20,First Class,Home Office,Central,Texas,Technology,Printer,2822.75,5,0.0,566.73
153,CA-2021-001059,2021-03-26,2021-04-02,First Class,Home Office,East,Pennsylvania,Office Supplies,Folders,6.04,1,0.1,2.18
154,CA-2021-001059,2022-09-11,2022-09-15,First Class,Corporate,South,Alabama,Office Supplies,Pens,155.74,4,0.2,34.1
155,CA-2023-001060,2022-02-22,2022-02-25,Same Day,Corporate,West,Oregon,Technology,Monitor,1317.41,10,0.15,356.04
156,CA-2021-001061,2022-10-16,2022-10-18,Standard Class,Home Office,South,Georgia,Technology,USB Hub,764.9,8,0.3,95.13
157,CA-2021-001061,2022-05-24,2022-05-31,Same Day,Home Office,West,California,Technology,Monitor,1881.21,3,0.15,201.2
158,CA-2021-001061,2023-10-16,2023-10-17,First Class,Corporate,East,Massachusetts,Office Supplies,Paper Ream,79.55,2,0.3,38.71
159,CA-2021-001062,2022-08-09,2022-08-14,Same Day,Corporate,Central,Texas,Furniture,Desk,823.06,1,0.2,-43.72
160,CA-2021-001062,2021-04-15,2021-04-20,Same Day,Consumer,Central,Ohio,Technology,Phone,1614.73,9,0.1,116.36
161,CA-2023-001063,2021-07-18,2021-07-22,Second Class,Consumer,Central,Indiana,Office Supplies,Folders,245.31,6,0.15,79.27
162,CA-2023-001063,2023-10-22,2023-10-23,Same Day,Home Office,Central,Illinois,Furniture,Sofa,105.04,1,0.15,19.05
163,CA-2023-001063,2022-10-15,2022-10-17,First Class,Consumer,South,Georgia,Office Supplies,Folders,374.6,7,0.1,126.42
164,CA-2023-001063,2022-11-10,2022-11-16,First Class,Consumer,South,Alabama,Technology,Monitor,1588.52,2,0.1,459.12
165,CA-2021-001064,2021-04-16,2021-04-21,Second Class,Home Office,South,North Carolina,Office Supplies,Folders,76.1,8,0.2,12.11
166,CA-2022-001065,2023-06-23,2023-06-26,Standard Class,Consumer,West,Arizona,Office Supplies,Pens,71.69,7,0.05,18.94
167,CA-2022-001065,2022-10-28,2022-11-03,Second Class,Home Office,South,Florida,Office Supplies,Notebooks,220.86,8,0.15,106.6
168,CA-2021-001066,2023-09-19,2023-09-21,First Class,Home Office,Central,Indiana,Technology,Keyboard,981.86,4,0.1,115.33
169,CA-2021-001066,2022-10-12,2022-10-16,Same Day,Home Office,Central,Ohio,Office Supplies,Notebooks,186.35,6,0.1,40.09
170,CA-2021-001066,2022-08-13,2022-08-19,Standard Class,Corporate,South,Tennessee,Technology,Printer,463.88,2,0.3,114.48
171,CA-2021-001066,2021-10-09,2021-10-10,First Class,Corporate,South,Georgia,Furniture,Sofa,8643.1,10,0.05,-130.85
172,CA-2022-001067,2021-07-25,2021-07-31,Same Day,Corporate,East,New York,Furniture,Filing Cabinet,257.4,3,0.0,10.92
173,CA-2022-001067,2022-08-08,2022-08-14,First Class,Corporate,South,Tennessee,Office Supplies,Notebooks,54.66,1,0.0,19.73
174,CA-2021-001068,2023-10-12,2023-10-14,Same Day,Consumer,West,Oregon,Technology,Printer,3963.85,5,0.0,553.03
175,CA-2021-001068,2021-10-02,2021-10-09,Same Day,Home Office,West,Washington,Technology,Monitor,3737.89,9,0.05,1093.87
176,CA-2023-001069,2021-01-29,2021-02-04,Second Class,Home Office,East,Massachusetts,Office Supplies,Stapler,272.8,6,0.05,46.43
177,CA-2023-001069,2021-07-15,2021-07-17,Same Day,Consumer,South,Tennessee,Office Supplies,Stapler,84.62,3,0.05,8.69
178,CA-2023-001069,2021-01-24,2021-01-27,First Class,Corporate,South,Georgia,Technology,Phone,3796.26,6,0.0,950.34
179,CA-2023-001070,2021-08-29,2021-09-04,First Class,Home Office,Central,Illinois,Technology,Keyboard,1661.36,5,0.05,192.28
180,CA-2023-001070,2023-05-02,2023-05-08,First Class,Home Office,East,Massachusetts,Furniture,Filing Cabinet,9424.92,9,0.05,1570.67
181,CA-2023-001070,2021-06-09,2021-06-14,First Class,Home Office,West,Arizona,Technology,USB Hub,159.09,2,0.05,35.29
182,CA-2023-001070,2022-02-25,2022-03-03,Standard Class,Corporate,East,Pennsylvania,Technology,USB Hub,3186.96,10,0.3,932.53
183,CA-2021-001071,2023-08-05,2023-08-11,Standard Class,Home Office,East,Virginia,Technology,Monitor,2637.0,5,0.2,333.15
184,CA-2021-001071,2022-12-07,2022-12-13,Same Day,Consumer,West,Oregon,Office Supplies,Pens,66.78,2,0.0,31.64
185,CA-2021-001071,2021-10-05,2021-10-12,Second Class,Corporate,West,Nevada,Furniture,Desk,2796.64,7,0.2,159.37
186,CA-2021-001071,2021-08-31,2021-09-02,First Class,Consumer,South,Tennessee,Furniture,Sofa,4682.07,9,0.0,724.55
187,CA-2022-001072,2023-12-26,2023-12-30,Same Day,Home Office,West,California,Technology,Monitor,834.16,4,0.15,80.53
188,CA-2022-001072,2022-05-08,2022-05-10,Standard Class,Home Office,East,New York,Furniture,Filing Cabinet,386.0,2,0.0,21.71
189,CA-2021-001073,2021-04-26,2021-04-28,Second Class,Consumer,East,New York,Technology,Monitor,7646.52,9,0.05,2253.7
190,CA-2022-001074,2023-04-27,2023-04-30,Second Class,Home Office,Central,Illinois,Technology,Printer,415.15,5,0.0,98.72
191,CA-2022-001074,2023-12-11,2023-12-14,Same Day,Corporate,South,Alabama,Technology,Laptop,2426.7,7,0.1,395.4
192,CA-2022-001074,2023-08-07,2023-08-08,Second Class,Home Office,South,Georgia,Furniture,Desk,3903.84,9,0.2,371.06
193,CA-2022-001075,2023-07-11,2023-07-18,Standard Class,Corporate,South,Georgia,Technology,Printer,629.51,6,0.05,41.21
194,CA-2022-001075,2022-03-21,2022-03-25,Second Class,Consumer,South,Alabama,Office Supplies,Pens,178.26,4,0.15,39.44
195,CA-2021-001076,2022-05-12,2022-05-18,Same Day,Home Office,East,Pennsylvania,Office Supplies,Pens,342.56,10,0.2,159.65
196,CA-2022-001077,2022-09-24,2022-09-27,First Class,Home Office,Central,Michigan,Technology,USB Hub,1999.83,6,0.3,379.57
197,CA-2022-001077,2021-04-04,2021-04-09,Same Day,Corporate,South,North Carolina,Furniture,Desk,3640.8,4,0.0,-31.78
198,CA-2022-001077,2023-02-17,2023-02-22,Second Class,Corporate,South,North Carolina,Furniture,Bookcase,2173.35,4,0.15,-21.59
199,CA-2022-001078,2023-09-28,2023-09-30,Second Class,Consumer,South,Tennessee,Furniture,Desk,10702.44,9,0.0,892.38
200,CA-2022-001078,2021-05-20,2021-05-26,Second Class,Consumer,West,California,Furniture,Filing Cabinet,189.5,3,0.3,5.8
201,CA-2022-001078,2021-01-25,2021-01-26,Same Day,Home Office,South,Tennessee,Furniture,Office Chair,7199.77,9,0.1,-676.78
202,CA-2022-001078,2022-05-09,2022-05-11,Second Class,Home Office,South,Georgia,Furniture,Office Chair,5691.85,10,0.15,-36.63
203,CA-2023-001079,2022-04-08,2022-04-11,Second Class,Home Office,West,Washington,Technology,Monitor,1197.5,2,0.0,93.47
204,CA-2023-001079,2021-12-17,2021-12-18,Standard Class,Consumer,South,Tennessee,Office Supplies,Paper Ream,347.0,8,0.15,113.24
205,CA-2023-001079,2022-07-10,2022-07-11,Same Day,Consumer,West,Arizona,Furniture,Bookcase,1523.81,2,0.1,327.25
